Name,Role,Highest Gold Storage Level,Stars in Campaign Map,Current Town Hall Level,Total Obstacles Removed,Unlock Dragon in the Barracks,Total Gold Looted,Total Elixir Looted,Trophy Record,Current Clan Castle Level,Total Wall Destroyed,Total Town Halls Destroyed,Total Builder's Huts Destroyed,Total Multiplayer Battles Won,Total Defenses Won,Total Capacity Donated,Total Mortars Destroyed,Total Dark Elixir Looted,League All-Star,Total X-Bows Destroyed,Total Inferno Towers Destroyed,Total Stars scored for clan in Clan War battles,Total gold collected in Clan War bonuses,Total Eagle Artilleries Destroyed,Total Spell Capacity Donated,Village Connected to Social Network,Current Builder Hall Level,Unlock Power P.E.K.K.A,Total Builder Halls destroyed,Builder Trophy record,Total buildings geared up,Rebuild Battle Machine,Total Clan Games points,Slay the Giant Dragon,Total Stars scored for the clan in Clan War League battles,Connect account to Supercell ID,Total Season Challenges points,Total Scattershots Destroyed,Weaponized Town Halls Destroyed,Total Weaponized Builder's Huts Destroyed,Total Times Super Troops boosted,Total Siege Machines Donated,Total Capital Gold Looted,Total Capital Gold Contributed,Total Spell Towers Destroyed,Total Monoliths Destroyed,Defeat M.O.M.M.A,Attack Wins in Season,Best Builder Base Trophies,Best Trophies,Builder Base League,Builder Base Trophies,Builder Hall Level,Clan Capital Contributions,Defense Wins,Donations,Donations Received,Experience Level,Trophies,War Stars
king of kings,leader,17,269,16,5903,1,2000000000,2000000000,5872,11,91782,7753,38494,10342,1161,260943,31690,43887247,22,20994,12159,2191,2000000000,4179,5763,0,9,1,3376,4203,3,1,205040,11,755,0,149900,5082,3763,10997,173,3171,1741514,2230113,2473,1231,3,85,4203,5872,Steel League I,3651,9,2230113,4,78,2224,241,5373,2191
zoro,coLeader,17,226,16,6016,1,2000000000,2000000000,5375,11,61343,5045,19622,7412,1829,319181,10204,21898198,22,5566,3366,1284,1152901071,1394,11414,0,10,1,6861,5127,3,1,117700,5,455,0,131440,1478,1784,2051,222,1913,1622610,2035525,568,260,0,73,5127,5375,Platinum League II,4777,10,2035525,14,410,5112,240,5228,1284
YourExBf,coLeader,17,232,16,8658,1,2000000000,2000000000,5613,11,114224,7924,28360,9235,1457,215060,21561,34616656,22,12132,6171,1808,1732600017,2321,6144,0,10,1,1981,4030,3,1,154885,2,534,0,125580,2583,4097,6802,194,1748,1468725,1881819,1976,985,2,34,4030,5613,Iron League II,2956,10,1881819,1,0,555,233,4941,1808
Akash,member,15,249,14,12493,1,2000000000,2000000000,5132,10,55376,6830,20636,7912,1285,95898,15033,26315220,22,5912,2757,1559,1798992513,1438,2110,0,10,1,873,3407,3,1,151635,2,593,0,134390,889,2828,1863,341,357,1159251,1513818,138,68,0,49,3407,5132,Steel League III,3269,10,1513818,8,78,438,221,4877,1559
Navneeth,coLeader,16,145,15,5518,1,1992865325,2000000000,5046,11,63979,2926,17379,4623,1117,102017,12250,16368116,22,8268,4728,1429,1486242611,1657,3758,0,10,1,2811,4430,3,1,150005,1,613,0,166500,1858,1447,1761,110,1912,971010,1417327,322,159,0,28,4430,5046,Steel League I,3760,10,1417327,7,808,2820,225,4663,1429
FIRE DRAGON,member,14,170,14,6056,1,1317109948,1389817399,5095,10,27606,3107,12887,3889,869,138720,10339,10093228,22,3651,1695,1345,781856639,474,4356,0,10,1,1688,3260,3,1,63455,3,421,0,79460,336,508,105,42,152,810210,1036117,11,3,0,39,3260,5095,Iron League I,3163,10,1036117,6,2042,2894,200,4600,1345
JHON CENA,member,16,155,16,4306,1,613819082,629479280,4301,11,10079,1045,3275,1167,721,59968,2600,5324886,19,1884,1258,680,617185371,461,2283,0,10,1,241,2721,3,1,40075,13,312,0,61100,530,620,704,42,1449,770755,1064964,203,94,0,44,2721,4301,Brass League I,2577,10,1064964,1,2998,3281,175,4296,680
Hashim Amla,admin,16,62,15,2645,1,1053498713,1114593296,4289,11,20610,2118,9428,2767,955,79821,7508,8955138,19,3856,2447,2566,1585063846,836,2385,0,9,1,1620,3598,3,1,74635,0,1026,0,103570,1180,546,1614,11,275,1358796,1663070,222,106,0,12,3598,4289,Iron League II,2880,9,1663070,7,1,249,208,4217,2566
lupandi,admin,16,192,15,4730,1,2000000000,2000000000,5202,11,32839,4748,21141,6339,508,113685,17109,23270528,22,10717,7162,1740,1904808235,2363,4480,0,9,1,2995,4016,3,1,128545,2,799,0,146180,3841,1576,4498,19,1547,1440275,1735796,227,107,0,8,4016,5202,Steel League III,3333,9,1735796,4,15,0,220,4116,1740
darks619,admin,16,189,15,7443,1,2000000000,2000000000,5093,11,117270,6491,31143,9525,1330,170630,28605,25868960,22,15700,9072,2698,2000000000,3603,2701,0,10,1,4698,4987,3,1,96785,4,571,0,151590,2826,1928,2384,23,1137,1401160,1732282,260,112,0,13,4987,5093,Platinum League II,4634,10,1732282,4,311,480,229,3968,2698
